23, 26, 28, 25, 1.02
24, 25, 25, 25, 0.99
24, 21, 25, 25, 0.9500000000000001
21, 20, 28, 23, 0.92
22, 21, 28, 24, 0.9500000000000001
25, 24, 26, 26, 1.01
23, 23, 26, 26, 0.98
22, 22, 24, 23, 0.91
21, 23, 23, 21, 0.88
19, 24, 23, 20, 0.86
20, 21, 22, 20, 0.8300000000000001
18, 21, 21, 22, 0.8200000000000001
16, 20, 20, 23, 0.79
16, 20, 20, 24, 0.8
16, 19, 20, 27, 0.8200000000000001
17, 22, 21, 29, 0.89
17, 23, 21, 29, 0.9
17, 23, 21, 29, 0.9
19, 23, 19, 28, 0.89
18, 23, 19, 29, 0.89
19, 20, 17, 28, 0.84
19, 20, 16, 29, 0.84
20, 20, 17, 30, 0.87
23, 23, 17, 29, 0.92
20, 22, 21, 28, 0.91
22, 24, 21, 27, 0.9400000000000001
20, 26, 23, 25, 0.9400000000000001
22, 29, 27, 25, 1.03
23, 27, 26, 25, 1.01
21, 25, 26, 23, 0.9500000000000001
20, 24, 27, 20, 0.91
24, 24, 28, 23, 0.99
24, 24, 27, 22, 0.97
25, 21, 28, 22, 0.96
29, 21, 28, 21, 0.99
28, 23, 27, 24, 1.02
30, 24, 28, 23, 1.05
28, 25, 27, 23, 1.03
28, 26, 25, 21, 1.0
29, 23, 25, 18, 0.9500000000000001
28, 23, 25, 19, 0.9500000000000001
28, 26, 26, 21, 1.01
29, 25, 26, 23, 1.03
26, 25, 27, 22, 1.0
27, 27, 28, 25, 1.07
26, 25, 29, 22, 1.02
29, 25, 31, 23, 1.08
32, 24, 31, 23, 1.1
32, 29, 31, 25, 1.17
32, 28, 33, 28, 1.21
34, 30, 35, 33, 1.32
35, 34, 37, 34, 1.4000000000000001
33, 32, 36, 34, 1.35
35, 34, 35, 35, 1.3900000000000001
33, 36, 34, 34, 1.37
34, 35, 33, 32, 1.34
29, 36, 33, 34, 1.32
30, 36, 32, 33, 1.31
31, 36, 33, 32, 1.32
31, 33, 31, 32, 1.27
29, 35, 30, 32, 1.26
28, 34, 30, 32, 1.24
27, 31, 31, 33, 1.22
27, 31, 36, 34, 1.28
30, 31, 34, 33, 1.28
30, 31, 35, 34, 1.3
34, 32, 38, 36, 1.4000000000000001
36, 34, 41, 34, 1.45
29, 31, 38, 36, 1.34
31, 35, 38, 37, 1.41
28, 33, 40, 38, 1.3900000000000001
27, 33, 41, 39, 1.4000000000000001
28, 31, 47, 37, 1.43
28, 30, 47, 35, 1.4000000000000001
31, 31, 46, 34, 1.42
31, 31, 44, 34, 1.4000000000000001
34, 33, 44, 36, 1.47
36, 36, 46, 37, 1.55
36, 35, 46, 36, 1.53
35, 35, 46, 35, 1.51
36, 38, 48, 36, 1.58
35, 36, 46, 34, 1.51
34, 34, 48, 35, 1.51
37, 36, 51, 39, 1.6300000000000001
38, 33, 49, 39, 1.59
37, 34, 48, 40, 1.59
36, 33, 46, 39, 1.54
38, 30, 45, 33, 1.46
39, 31, 40, 34, 1.44
37, 32, 40, 35, 1.44
32, 32, 39, 34, 1.37
29, 35, 42, 34, 1.4000000000000001
27, 32, 42, 35, 1.36
25, 30, 39, 36, 1.3
29, 31, 41, 40, 1.41
29, 29, 41, 38, 1.37
31, 28, 41, 38, 1.3800000000000001
31, 30, 40, 37, 1.3800000000000001
35, 32, 37, 37, 1.41
37, 32, 37, 38, 1.44
35, 27, 38, 37, 1.37
35, 28, 41, 39, 1.43
32, 29, 36, 38, 1.35
35, 31, 38, 38, 1.42
38, 33, 38, 38, 1.47
